Date,Open,High,Low,Close
1960-01-01,5.3300,5.3300,5.3300,5.3300
1960-02-01,5.4000,5.4000,5.4000,5.4000
1960-03-01,5.5900,5.5900,5.5900,5.5900
1960-04-01,5.6700,5.6700,5.6700,5.6700
1960-05-01,5.6900,5.6900,5.6900,5.6900
1960-06-01,6.0400,6.0400,6.0400,6.0400
1960-07-01,6.0100,6.0100,6.0100,6.0100
1960-08-01,6.0300,6.0300,6.0300,6.0300
1960-09-01,6.1000,6.1000,6.1000,6.1000
1960-10-01,6.1000,6.1000,6.1000,6.1000
1960-11-01,6.1400,6.1400,6.1400,6.1400
1960-12-01,6.1700,6.1700,6.1700,6.1700
1961-01-01,6.1500,6.1500,6.1500,6.1500
1961-02-01,6.0000,6.0000,6.0000,6.0000
1961-03-01,6.0600,6.0600,6.0600,6.0600
1961-04-01,6.0300,6.0300,6.0300,6.0300
1961-05-01,6.0900,6.0900,6.0900,6.0900
1961-06-01,6.3400,6.3400,6.3400,6.3400
1961-07-01,6.5600,6.5600,6.5600,6.5600
1961-08-01,6.6900,6.6900,6.6900,6.6900
1961-09-01,6.6800,6.6800,6.6800,6.6800
1961-10-01,6.1100,6.1100,6.1100,6.1100
1961-11-01,6.2100,6.2100,6.2100,6.2100
1961-12-01,6.2500,6.2500,6.2500,6.2500
1962-01-01,6.2000,6.2000,6.2000,6.2000
1962-02-01,6.2700,6.2700,6.2700,6.2700
1962-03-01,6.2700,6.2700,6.2700,6.2700
1962-04-01,6.2800,6.2800,6.2800,6.2800
1962-05-01,6.2800,6.2800,6.2800,6.2800
1962-06-01,6.1900,6.1900,6.1900,6.1900
1962-07-01,5.8100,5.8100,5.8100,5.8100
1962-08-01,5.6200,5.6200,5.6200,5.6200
1962-09-01,4.8900,4.8900,4.8900,4.8900
1962-10-01,5.0500,5.0500,5.0500,5.0500
1962-11-01,5.1700,5.1700,5.1700,5.1700
1962-12-01,5.1400,5.1400,5.1400,5.1400
1963-01-01,5.2300,5.2300,5.2300,5.2300
1963-02-01,5.4300,5.4300,5.4300,5.4300
1963-03-01,5.4500,5.4500,5.4500,5.4500
1963-04-01,5.2900,5.2900,5.2900,5.2900
1963-05-01,5.1700,5.1700,5.1700,5.1700
1963-06-01,5.0800,5.0800,5.0800,5.0800
1963-07-01,5.0600,5.0600,5.0600,5.0600
1963-08-01,4.9600,4.9600,4.9600,4.9600
1963-09-01,4.9000,4.9000,4.9000,4.9000
1963-10-01,4.9700,4.9700,4.9700,4.9700
1963-11-01,5.2100,5.2100,5.2100,5.2100
1963-12-01,5.2400,5.2400,5.2400,5.2400
1964-01-01,5.2700,5.2700,5.2700,5.2700
